City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sokolka,92,RU,1552662550,89,52.46,43.89,28.0,10.11
Ushuaia,0,AR,1552658400,51,-54.81,-68.31,59.0,13.87
Faanui,48,PF,1552662552,100,-16.48,-151.75,82.27,5.19
Kahului,1,US,1552662095,73,20.89,-156.47,69.8,4.7
Moerai,64,PF,1552662555,100,-22.43,-151.33,79.12,24.54
Dungarpur,0,IN,1552662870,31,23.85,73.71,73.36,8.55
Tilichiki,0,RU,1552662871,39,60.47,166.1,-26.45,2.62
Clyde River,75,CA,1552658400,83,70.47,-68.59,-11.21,6.93
Hithadhoo,92,MV,1552662874,100,-0.6,73.08,83.98,6.64
Porto Novo,75,BR,1552658400,73,-23.68,-45.44,77.0,4.7
Asyut,0,EG,1552658400,25,27.18,31.19,73.4,11.41
Tuktoyaktuk,40,CA,1552658400,77,69.44,-133.03,3.2,12.75
Las Palmas,75,PE,1552658400,290,-6.53,-76.35,62.6,2.24
Bluff,92,AU,1552662880,99,-23.58,149.07,67.33,5.64
Nikolskoye,75,RU,1552662791,91,59.7,30.79,37.99,13.42
Iqaluit,90,CA,1552658400,64,63.75,-68.52,-2.21,3.36
Mataura,0,NZ,1552662604,92,-46.19,168.86,48.99,3.51
Bonfim,40,BR,1552658400,45,-20.33,-44.24,86.0,4.7
Bracebridge,90,CA,1552662857,93,45.04,-79.31,39.99,11.41
Port Alfred,68,ZA,1552662621,94,-33.59,26.89,75.0,4.0
Port Moresby,92,PG,1552662890,100,-9.47,147.16,77.41,20.51
Rocha,80,UY,1552662891,85,-34.48,-54.34,72.64,10.45
Dikson,24,RU,1552662892,83,73.51,80.55,-2.15,3.96
Sinnamary,56,GF,1552662893,88,5.38,-52.96,82.0,12.46
Barrow,80,AR,1552662894,92,-38.31,-60.23,66.61,14.14
Qaanaaq,24,GL,1552662896,100,77.48,-69.36,-16.1,6.76
Albany,75,US,1552662853,71,42.65,-73.75,61.0,14.99
Cidreira,0,BR,1552662898,85,-30.17,-50.22,79.57,7.65
Hermanus,0,ZA,1552662042,71,-34.42,19.24,91.99,13.0
Jamestown,0,AU,1552662901,84,-33.21,138.6,51.85,6.76
Kodiak,1,US,1552662838,40,39.95,-94.76,39.0,20.8
Chernyshevskiy,80,RU,1552662903,88,63.01,112.47,22.06,3.74
Tara,20,JP,1552662904,66,33.0,130.15,50.0,16.11
Alvorada,20,BR,1552662799,61,-30.0,-51.08,82.99,3.36
Pangody,64,RU,1552662910,81,65.85,74.49,8.11,13.24
Isangel,32,VU,1552662911,100,-19.55,169.27,78.76,10.67
East London,75,ZA,1552658400,88,-33.02,27.91,75.2,10.29
Muroto,12,JP,1552662913,100,33.37,134.14,47.44,5.53
Consolacion del Sur,0,CU,1552662914,68,22.5,-83.51,81.73,6.64
Punta Arenas,90,CL,1552662787,87,-53.16,-70.91,53.01,6.93
Lorengau,92,PG,1552662918,96,-2.02,147.27,83.53,16.15
Severo-Kurilsk,76,RU,1552662919,100,50.68,156.12,23.59,10.0
Lang Son,92,VN,1552662922,96,21.83,106.73,61.66,3.74
Victoria,75,BN,1552660200,78,5.28,115.24,80.6,6.93
Araouane,0,ML,1552662924,18,18.9,-3.53,92.62,5.41
Rikitea,64,PF,1552662926,100,-23.12,-134.97,77.05,24.09
Norman Wells,75,CA,1552658400,91,65.28,-126.83,3.2,3.36
Vaini,0,IN,1552662929,48,15.34,74.49,78.67,2.95
Cape Town,0,ZA,1552662791,45,-33.93,18.42,91.99,11.41
Bathsheba,20,BB,1552658400,58,13.22,-59.52,84.2,16.11
Zhigansk,12,RU,1552662932,38,66.77,123.37,-11.87,2.73
Ondjiva,40,AO,1552658400,28,-17.07,15.73,95.0,4.7
Naze,40,NG,1552658400,62,5.43,7.07,89.6,3.36
Ketchikan,90,US,1552661400,93,55.34,-131.65,39.2,9.17
Sitka,0,US,1552662081,66,37.17,-99.65,37.0,10.0
Kapaa,90,US,1552662097,88,22.08,-159.32,68.0,3.36
Honiara,64,SB,1552662939,100,-9.43,159.96,74.35,1.05
Weligama,36,LK,1552662941,87,5.97,80.42,81.46,6.42
Mujiayingzi,92,CN,1552662942,85,42.12,118.78,28.72,2.62
Qasigiannguit,75,GL,1552661400,54,68.82,-51.19,5.0,5.82
Gaoyou,0,CN,1552662936,54,32.79,119.43,54.0,11.23
Lichtenburg,12,ZA,1552662945,22,-26.15,26.16,85.42,4.85
San Carlos de Bariloche,75,AR,1552658400,71,-41.13,-71.31,53.6,10.29
Perelyub,20,RU,1552662948,83,51.87,50.37,25.48,6.31
Provideniya,76,RU,1552662949,100,64.42,-173.23,18.64,21.74
Barela,0,IN,1552662951,55,23.1,80.05,70.75,5.19
San Patricio,64,PY,1552662953,73,-26.98,-56.83,81.37,3.62
Aksu,90,KZ,1552660200,93,52.04,76.93,35.6,13.42
Vanavara,76,RU,1552662956,87,60.35,102.28,30.25,5.64
Caravelas,24,BR,1552662957,100,-17.73,-39.27,83.98,13.02
Iracoubo,68,GF,1552662958,77,5.48,-53.21,81.46,6.42
Kassala,0,SD,1552662916,17,15.45,36.38,93.61,12.01
Palana,36,RU,1552662960,71,59.08,159.95,-11.15,2.51
Were Ilu,24,ET,1552662962,46,10.6,39.43,68.14,2.39
Manuk Mangkaw,20,PH,1552662963,98,4.8,119.85,81.91,14.14
Broome,20,GB,1552662955,54,52.47,1.45,59.0,24.16
Bam,12,IR,1552662725,32,29.11,58.36,65.35,11.01
Lompoc,1,US,1552662967,86,34.64,-120.46,50.0,4.7
Hobart,75,AU,1552662964,72,-42.88,147.33,59.0,6.93
Ribeira Grande,20,PT,1552660200,72,38.52,-28.7,62.6,10.29
Calbuco,40,CL,1552658400,87,-41.77,-73.13,57.2,6.93
Camacha,20,PT,1552660200,63,33.08,-16.33,66.2,10.29
Boguchany,12,RU,1552662975,88,58.38,97.46,30.34,5.41
Nosivka,12,UA,1552662977,57,50.94,31.58,42.22,10.33
Busselton,0,AU,1552662946,52,-33.64,115.35,64.99,17.83
Khatanga,44,RU,1552662979,71,71.98,102.47,-2.15,8.55
Nova Olinda do Norte,12,BR,1552662980,65,-3.89,-59.1,88.3,4.74
Avarua,76,CK,1552660200,94,-21.21,-159.78,77.0,10.29
Rio de Janeiro,75,BR,1552662904,78,-22.91,-43.21,93.2,21.92
Shingu,88,JP,1552662984,100,33.72,135.99,50.59,12.24
Bouake,40,CI,1552658400,44,7.69,-5.02,93.2,4.7
Atuona,0,PF,1552662986,99,-9.8,-139.03,82.45,15.82
Airai,92,TL,1552662987,78,-8.93,125.41,70.84,1.39
Lasa,40,CY,1552662972,72,34.92,32.53,59.0,6.93
Saint George,20,GR,1552659600,62,39.45,22.34,57.2,4.7
New Norfolk,75,AU,1552662975,72,-42.78,147.06,59.0,6.93
Chokurdakh,44,RU,1552662993,32,70.62,147.9,-21.68,3.06
Quechultenango,12,MX,1552662994,67,17.41,-99.24,67.24,1.72
Kidal,0,ML,1552662995,21,18.44,1.41,94.96,4.41
La Ronge,20,CA,1552658400,84,55.1,-105.3,-0.41,2.24
Nantucket,90,US,1552662970,87,41.28,-70.1,57.2,19.46
Tessalit,0,ML,1552663000,19,20.2,1.01,92.35,4.29
Upernavik,48,GL,1552662772,100,72.79,-56.15,-0.89,9.78
Tsabong,0,BW,1552663002,22,-26.02,22.4,95.23,4.74
Linxia,48,CN,1552663005,84,35.6,103.21,28.9,1.05
Geraldton,90,CA,1552658400,85,49.72,-86.95,14.0,14.99
Sao Gabriel da Cachoeira,75,BR,1552658400,88,-0.13,-67.09,80.6,4.7
Yellowknife,90,CA,1552662765,78,62.45,-114.38,14.0,9.17
Mar del Plata,8,AR,1552663009,69,-46.43,-67.52,61.93,6.76
Castro,0,CL,1552658400,67,-42.48,-73.76,60.8,9.17
Arraial do Cabo,20,BR,1552658400,74,-22.97,-42.02,89.6,9.17
Kununurra,92,AU,1552660200,88,-15.77,128.74,77.0,4.29
Houston,20,US,1552662855,40,29.76,-95.37,55.99,12.75
Saint-Philippe,90,CA,1552662980,81,45.36,-73.48,53.01,11.41
Bethel,1,US,1552658160,92,60.79,-161.76,14.0,5.82
Hilo,1,US,1552662919,82,19.71,-155.08,64.0,6.93
Ponta do Sol,32,BR,1552663024,89,-20.63,-46.0,79.84,3.85
Bambous Virieux,40,MU,1552662844,78,-20.34,57.76,81.0,5.82
Sao Filipe,0,CV,1552663026,78,14.9,-24.5,75.25,17.94
Puerto Escondido,5,MX,1552657260,69,15.86,-97.07,75.2,5.82
Tasiilaq,20,GL,1552661400,79,65.61,-37.64,19.4,4.7
Thompson,90,CA,1552658400,77,55.74,-97.86,3.2,12.75
Carnarvon,68,ZA,1552663032,22,-30.97,22.13,85.51,11.45
Antalaha,56,MG,1552663033,86,-14.9,50.28,80.92,9.33
Longyearbyen,75,NO,1552661400,77,78.22,15.63,5.0,9.17
Port Lincoln,8,AU,1552663036,93,-34.72,135.86,65.26,12.8
Zhigalovo,44,RU,1552663037,87,54.81,105.15,26.11,2.17
Anju,0,KP,1552663039,83,39.62,125.66,27.46,8.66
Taksimo,32,RU,1552663040,63,56.36,114.84,22.06,4.18
Fasa,75,IR,1552658400,55,28.94,53.65,60.8,11.41
Kendari,92,ID,1552663042,99,-3.99,122.52,71.2,2.95
Bredasdorp,12,ZA,1552662971,78,-34.53,20.04,80.01,16.11
Lebu,0,ET,1552663046,19,8.96,38.73,73.45,10.67
Vestmannaeyjar,90,IS,1552662000,100,63.44,-20.27,32.0,9.17
Tiarei,68,PF,1552662783,83,-17.53,-149.33,78.8,3.36
Baykit,88,RU,1552663050,92,61.68,96.39,28.36,3.18
Port Augusta,0,AU,1552662638,77,-32.49,137.76,69.8,10.29
Atambua,64,ID,1552663053,100,-9.11,124.89,78.04,3.51
Kaitangata,8,NZ,1552663054,85,-46.28,169.85,47.71,3.62
Sayyan,80,YE,1552663055,24,15.17,44.32,73.36,1.39
Khakhea,24,BW,1552663056,26,-24.69,23.5,91.9,6.98
Kaeo,92,NZ,1552662485,90,-35.1,173.78,66.0,6.31
Batemans Bay,100,AU,1552662946,76,-35.71,150.18,62.01,5.99
Jeremie,0,HT,1552663064,92,18.65,-74.12,79.48,5.3
Leningradskiy,32,RU,1552663065,78,69.38,178.42,-12.41,5.75
Port Blair,0,IN,1552662784,100,11.67,92.75,82.54,9.22
Puerto Ayora,0,EC,1552662925,78,-0.74,-90.35,78.8,9.17
Chorozinho,40,BR,1552658400,62,-4.3,-38.5,87.8,10.29
Chuy,88,UY,1552662910,91,-33.69,-53.46,75.79,8.1
Yumen,0,CN,1552663072,63,40.29,97.04,30.61,6.53
Kayerkan,48,RU,1552663073,84,69.35,87.76,4.96,6.2
Puerto del Rosario,20,ES,1552662000,77,28.5,-13.86,68.0,10.29
Haines Junction,24,CA,1552663075,67,60.75,-137.51,9.55,2.17
Maniitsoq,0,GL,1552663076,100,65.42,-52.9,2.8,8.1
Betsiamites,75,CA,1552662000,93,48.94,-68.65,39.2,10.29
Verkhoyansk,0,RU,1552663079,37,67.55,133.39,-25.64,2.62
Sambava,44,MG,1552663081,100,-14.27,50.17,82.81,14.25
Adrar,0,DZ,1552658400,14,27.87,-0.29,80.6,11.41
Bintulu,75,MY,1552658400,78,3.17,113.03,80.6,2.24
Saskylakh,76,RU,1552663087,73,71.97,114.09,0.1,10.22
Belyy,64,RU,1552663088,83,55.83,32.94,36.46,14.92
Port Elizabeth,75,US,1552662792,68,39.31,-74.98,69.01,19.46
Saint-Louis,75,CH,1552663083,76,47.59,7.56,55.4,18.34
Huarmey,0,PE,1552663092,59,-10.07,-78.15,78.04,3.96
Morgan City,75,US,1552663091,71,29.7,-91.21,57.2,8.05
Turayf,40,SA,1552658400,51,31.68,38.65,60.8,9.17
Mopipi,0,BW,1552663095,21,-21.2,24.86,93.07,12.46
Shiyan,36,CN,1552662898,60,32.65,110.78,45.0,3.0
Waipawa,12,NZ,1552662437,94,-39.94,176.59,61.0,2.73
Maonon,0,PH,1552663100,90,13.04,123.37,71.11,2.95
Mantua,20,IT,1552663089,45,45.16,10.79,72.0,4.7
Morant Bay,20,JM,1552658400,48,17.88,-76.41,82.4,1.12
Aloleng,0,PH,1552663103,97,16.13,119.78,77.68,2.73
Labuhan,68,ID,1552663105,95,-2.54,115.51,73.81,1.61
Stromness,90,CA,1552663080,81,42.87,-79.55,46.0,23.04
Santa Lucia,40,IT,1552662599,52,39.93,9.66,66.2,9.17
Tiksi,8,RU,1552663110,35,71.64,128.87,-23.84,2.73
Mount Gambier,0,AU,1552658400,93,-37.83,140.78,51.8,6.93
Beyneu,36,KZ,1552663113,45,45.32,55.19,39.97,13.69
Honningsvag,80,NO,1552662938,95,70.98,25.97,33.13,10.78
Danane,8,CI,1552663023,32,7.26,-8.15,99.82,4.41
Lagoa,0,PT,1552663027,32,37.14,-8.45,75.99,10.29
Keratea,75,GR,1552663081,71,37.81,23.98,54.0,8.05
Srandakan,100,ID,1552663119,95,-7.94,110.25,74.53,3.62
Yeppoon,90,AU,1552660200,83,-23.13,150.74,78.8,5.19
Camargo,68,MX,1552663121,41,27.69,-105.17,48.97,8.77
Plaster Rock,90,CA,1552663013,80,46.91,-67.4,39.2,13.87
Wainwright,68,CA,1552662961,83,52.84,-110.86,22.78,10.78
San Cristobal,40,EC,1552662954,77,-0.39,-78.55,60.8,3.36
Margate,75,AU,1552663095,72,-43.03,147.26,59.0,6.93
Lovozero,48,RU,1552663128,84,68.01,35.02,20.89,3.74
Dingle,0,PH,1552663129,78,11.0,122.67,76.87,11.68
Xichang,8,CN,1552663130,76,27.88,102.25,47.89,1.61
Farafangana,8,MG,1552663132,91,-22.82,47.83,80.02,11.01
Vila Franca do Campo,20,PT,1552663113,72,37.72,-25.43,60.8,8.05
Aykhal,80,RU,1552663134,79,65.95,111.51,16.75,4.63
Natal,75,BR,1552662000,94,-5.81,-35.21,80.6,9.17
Katsuura,20,JP,1552661472,87,33.93,134.5,45.0,6.93
Wajima,92,JP,1552663139,100,37.4,136.9,42.76,3.96
Grindavik,75,IS,1552662000,69,63.84,-22.43,41.0,5.82
Neumunster,75,DE,1552662986,76,54.07,9.98,51.8,36.91
Nyamuswa,20,TZ,1552663142,68,-1.9,34.02,76.87,1.72
Lavrentiya,88,RU,1552663143,100,65.58,-170.99,12.43,15.82
Laje,0,BR,1552663144,55,-13.18,-39.42,90.01,6.87
Butaritari,88,KI,1552663146,100,3.07,172.79,78.67,10.0
Elliot Lake,90,CA,1552662600,86,46.37,-82.65,33.8,16.11
Kalmunai,0,LK,1552663148,93,7.42,81.82,75.97,5.97
Orocue,92,CO,1552663150,100,4.79,-71.34,75.34,3.74
Necochea,92,AR,1552663091,57,-38.55,-58.74,75.99,5.99
San Rafael,0,AR,1552663157,26,-34.61,-68.33,66.52,10.22
Suntar,80,RU,1552663158,81,62.16,117.65,15.94,2.39
Sioux Lookout,90,CA,1552662780,73,50.1,-91.92,21.2,10.29
Algeciras,40,ES,1552662000,68,36.13,-5.45,75.2,12.75
Shimoda,75,JP,1552662911,49,34.7,138.93,48.2,2.24
Klaksvik,20,FO,1552661400,100,62.23,-6.59,41.0,17.22
Sao Joao da Barra,20,BR,1552658400,55,-21.64,-41.05,89.6,9.17
Boshnyakovo,76,RU,1552663165,83,49.65,142.17,16.75,5.53
Fuxin,88,CN,1552663166,51,42.02,121.65,22.15,4.41
Palmer,1,US,1552662938,63,61.6,-149.11,33.8,11.41
Solnechnyy,20,RU,1552663168,70,50.72,136.64,14.68,1.72
Kamina,24,CD,1552663171,55,-8.74,25.0,88.39,4.74
Udachnyy,80,RU,1552663172,82,66.42,112.4,17.65,3.74
Tabou,8,CI,1552663173,94,4.42,-7.36,85.24,12.24
Vila Velha,40,BR,1552663091,62,-3.71,-38.6,87.8,10.29
Avera,40,US,1552663154,73,33.19,-82.53,75.2,10.29
Los Llanos de Aridane,20,ES,1552663072,64,28.66,-17.92,69.8,6.93
Kruisfontein,36,ZA,1552663179,82,-34.0,24.73,70.39,15.82
Kenai,40,US,1552663024,79,60.55,-151.26,33.01,9.17
Teeli,0,RU,1552663181,65,51.01,90.2,11.98,1.16
Sakhipur,40,BD,1552660200,48,24.3,90.18,84.2,3.36
Cabo San Lucas,5,MX,1552662912,71,22.89,-109.91,66.0,8.05
Ahipara,56,NZ,1552661594,100,-35.17,173.16,66.0,7.09
Hailar,88,CN,1552663185,78,49.2,119.7,20.62,2.73
Stolin,80,BY,1552663187,91,51.89,26.85,43.12,16.26
Saint-Joseph,0,FR,1552663088,63,43.56,6.97,72.0,5.82
Razole,0,IN,1552663189,99,16.48,81.84,82.27,9.1
Whyalla,0,AU,1552658400,77,-33.04,137.58,69.8,10.29
Ilulissat,75,GL,1552661400,54,69.22,-51.1,5.0,5.82
Aliaga,90,PH,1552658400,94,15.5,120.85,77.0,4.7
Rome,0,IT,1552663144,42,41.89,12.48,64.4,8.05
Krasnoborsk,88,RU,1552663196,84,61.56,45.93,28.81,7.2
Rawson,75,AR,1552660200,93,-43.3,-65.11,62.6,9.17
Chapais,90,CA,1552662000,93,49.78,-74.86,41.0,17.22
College,1,US,1552662950,85,64.86,-147.8,24.01,7.31
Rio Tuba,0,PH,1552663201,92,8.51,117.43,81.01,9.1
Kinsale,75,IE,1552662720,76,51.71,-8.52,51.8,16.11
Arauca,75,VE,1552658400,62,7.08,-70.76,86.0,8.05
San Jeronimo,90,PE,1552658400,87,-13.65,-73.37,48.2,8.05
Monrovia,40,LR,1552662000,59,6.33,-10.8,93.2,11.41
Grand Gaube,40,MU,1552663144,78,-20.01,57.66,81.0,5.82
Yenagoa,24,NG,1552663208,67,4.92,6.26,90.82,8.66
Mnogovershinnyy,24,RU,1552663209,80,53.94,139.92,9.64,1.28
Basse,75,DE,1552663102,66,52.55,9.51,55.4,26.4
Tocache,76,PE,1552663212,85,-8.19,-76.51,65.17,2.39
Coquimbo,90,CL,1552658400,77,-29.95,-71.34,62.6,2.06
Biak,56,ID,1552663214,79,-0.91,122.88,82.81,7.2
Pacifica,40,US,1552663212,81,37.61,-122.49,48.99,1.61
Esperance,20,TT,1552662980,65,10.24,-61.45,84.99,13.87
Cururupu,64,BR,1552663217,96,-1.82,-44.87,81.01,5.97
Sandakan,40,MY,1552658400,78,5.84,118.12,80.6,5.82
Edgewater,1,US,1552663204,69,28.99,-80.9,81.0,6.93
Codrington,40,AU,1552663037,93,-28.95,153.24,68.0,4.7
Mariestad,90,SE,1552663142,86,58.71,13.82,39.99,4.7
Narsaq,20,GL,1552661400,57,60.91,-46.05,17.6,1.12
Correderos,20,HN,1552662972,61,15.42,-88.45,88.0,2.17
