City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dwarka,20,IN,1552662908,56,28.58,77.04,75.99,8.05
Vung Tau,64,VN,1552663229,92,10.35,107.08,82.36,19.06
Tura,44,IN,1552663158,85,25.52,90.21,65.17,3.62
Ongwediva,8,NA,1552658400,18,-17.78,15.77,100.4,4.7
Gravdal,75,NO,1552663209,93,59.79,5.78,41.0,11.41
Ishigaki,80,JP,1552663160,100,24.34,124.16,70.39,23.76
Jinxiang,0,CN,1552663234,35,35.07,116.31,45.19,10.0
Marsa Matruh,20,EG,1552662000,59,31.35,27.25,62.6,23.04
Usinsk,0,RU,1552663237,63,66.0,57.56,3.7,6.42
Meadow Lake,90,CA,1552662000,79,54.13,-108.44,19.4,2.24
Skrunda,92,LV,1552661400,100,56.68,22.02,39.2,6.93
Rio Cuarto,90,AR,1552658400,93,-33.13,-64.35,60.8,10.22
Pushkino,0,RU,1552663055,55,56.01,37.85,37.4,11.18
Fare,68,PF,1552663244,100,-16.7,-151.02,80.2,5.75
Hobyo,0,SO,1552663245,74,5.35,48.53,81.64,15.26
Upington,20,ZA,1552662000,18,-28.46,21.24,98.6,3.36
Kokopo,80,PG,1552663247,100,-4.34,152.27,77.5,4.52
Carndonagh,75,IE,1552659600,66,55.25,-7.27,48.2,25.28
Nuuk,75,GL,1552662761,66,64.17,-51.74,15.8,9.17
Elat,24,CM,1552663251,66,2.91,11.16,83.17,2.95
Tuatapere,8,NZ,1552662604,92,-46.13,167.69,48.99,4.18
Cherskiy,44,RU,1552663230,35,68.75,161.3,-23.75,3.18
Ngunguru,92,NZ,1552662485,90,-35.62,174.5,64.0,8.21
Verkhnyaya Toyma,80,RU,1552663255,85,62.24,45.0,26.47,8.21
Faya,40,SA,1552658400,52,18.39,42.45,73.4,13.87
Pimentel,88,BR,1552663258,74,-3.7,-45.5,86.59,3.62
Zaraza,20,VE,1552663233,43,9.35,-65.33,90.1,8.88
Makakilo City,1,US,1552663235,77,21.35,-158.09,71.6,4.7
Touros,75,BR,1552662000,94,-5.2,-35.46,80.6,9.17
Awjilah,0,LY,1552663259,37,29.14,21.3,68.59,17.38
Areosa,0,PT,1552663258,55,41.72,-8.86,73.0,5.82
Maunabo,40,PR,1552663252,65,18.01,-65.9,82.99,6.93
Druskininkai,90,LT,1552658400,86,54.02,23.98,39.2,8.95
Mazagao,75,BR,1552658400,74,-0.12,-51.29,87.8,13.87
Anadyr,90,RU,1552662787,78,64.73,177.51,8.6,15.66
Atasu,0,KZ,1552663269,92,48.68,71.64,27.73,14.25
Mananjary,92,MG,1552663270,93,-19.16,46.8,68.14,5.08
Hakkari,90,FI,1552663223,93,61.34,23.75,37.0,4.7
Igrim,76,RU,1552663273,74,63.19,64.42,19.99,12.01
Mildura,0,AU,1552662966,39,-34.18,142.16,64.4,6.93
Madimba,40,CM,1552662000,74,4.42,9.93,87.8,4.7
Tosno,75,RU,1552663235,87,59.54,30.88,37.99,13.42
Lexington,90,US,1552663212,57,38.05,-84.5,52.0,16.11
Alofi,75,NU,1552658400,100,-19.06,-169.92,75.2,2.24
Florianopolis,75,BR,1552662984,74,-27.6,-48.55,81.0,4.7
Liancheng,92,CN,1552663282,96,24.05,105.06,50.41,3.62
Manokwari,76,ID,1552663283,100,-0.87,134.08,78.85,12.01
Taoudenni,0,ML,1552663232,13,22.68,-3.98,89.02,13.8
Talnakh,44,RU,1552663191,85,69.49,88.39,2.17,4.18
Okhotsk,56,RU,1552663175,100,59.36,143.24,6.67,4.29
Flinders,75,AU,1552663145,100,-34.58,150.85,71.01,10.29
Dunedin,92,NZ,1552662701,92,-45.87,170.5,53.01,1.01
Parana,75,BR,1552660200,83,-7.52,-72.89,80.6,5.82
Ulagan,0,RU,1552663295,66,50.63,87.96,11.08,1.95
Vardo,90,US,1552663227,48,39.62,-77.74,71.01,6.93
Gamba,64,CN,1552663297,58,28.28,88.52,5.77,2.17
Pevek,20,RU,1552663182,44,69.7,170.27,-27.98,1.72
Praia da Vitoria,40,PT,1552662907,72,38.73,-27.07,63.0,13.91
Kamaishi,92,JP,1552663302,84,39.28,141.86,40.42,7.2
Cayenne,75,GF,1552660200,66,4.94,-52.33,84.2,12.75
Mehamn,75,NO,1552657800,86,71.03,27.85,32.0,27.51
Paita,90,PE,1552658400,290,-5.09,-81.11,62.6,8.05
Birao,24,CF,1552663307,12,10.3,22.78,100.54,14.14
Karratha,0,AU,1552663308,63,-20.74,116.85,80.11,8.66
Coihaique,40,CL,1552658400,71,-45.58,-72.07,57.2,2.24
Souris,90,CA,1552663241,74,46.36,-62.25,41.0,21.92
Mon,44,IN,1552663312,78,26.73,95.03,69.22,7.65
Souillac,75,FR,1552663090,93,45.6,-0.6,55.99,14.99
Nabire,80,ID,1552663236,98,-3.36,135.5,69.4,1.72
San Jose,36,PH,1552663316,96,15.79,120.99,71.83,2.06
Sahuaripa,76,MX,1552663317,74,29.05,-109.23,51.76,2.39
Warrenton,12,ZA,1552663209,29,-28.11,24.85,90.01,4.63
Nanortalik,0,GL,1552663171,100,60.14,-45.24,22.42,8.32
Burewala,0,PK,1552663321,61,30.16,72.68,66.34,4.74
Jalu,0,LY,1552663233,35,29.03,21.55,69.49,15.82
Altay,12,CN,1552663324,61,47.83,88.13,11.53,2.17
Te Anau,0,NZ,1552663258,92,-45.41,167.72,37.63,2.39
Ilhabela,32,BR,1552663326,100,-23.78,-45.36,80.02,8.99
Laguna,88,MX,1552663327,59,27.52,-110.01,56.71,1.95
Miyako,40,JP,1552663205,75,33.63,130.94,48.99,12.75
Katobu,92,ID,1552663330,100,-4.94,122.53,76.33,5.41
Sangar,0,RU,1552663331,62,63.92,127.47,-8.18,2.17
Russell,0,AR,1552662000,71,-33.01,-68.8,66.2,12.75
Busilac,36,PH,1552663333,95,16.48,121.12,65.71,1.61
Fairbanks,1,US,1552663001,85,64.84,-147.72,24.01,7.31
Georgetown,75,GY,1552658400,88,6.8,-58.16,80.6,4.7
Merauke,80,ID,1552663338,100,-8.49,140.4,75.52,4.74
Beloha,0,MG,1552663189,42,-25.17,45.06,80.74,16.71
Manaure,20,CO,1552658400,83,11.78,-72.45,77.0,9.17
Vostok,64,RU,1552663176,79,46.45,135.83,17.11,2.17
Saint-Pierre,90,FR,1552663325,87,48.95,4.24,55.4,23.04
Alice Springs,0,AU,1552660200,23,-23.7,133.88,73.4,3.36
Boyolangu,44,ID,1552663345,91,-8.09,111.9,73.0,5.3
Rincon,1,US,1552663309,69,32.3,-81.24,75.2,9.17
Ambilobe,92,MG,1552663347,100,-13.19,49.05,73.63,2.17
Oranjemund,68,ZA,1552663247,92,-28.55,16.43,65.08,6.76
Kondinskoye,92,RU,1552663349,92,59.65,67.41,28.72,14.58
Guerrero Negro,0,MX,1552663244,67,27.97,-114.04,49.15,6.53
Kangaatsiaq,68,GL,1552663352,100,68.31,-53.46,7.12,7.43
Nome,90,US,1552663182,91,30.04,-94.42,55.0,18.34
Australind,0,AU,1552663209,52,-33.28,115.72,64.0,13.24
Jaru,20,BR,1552663356,70,-10.43,-62.48,88.57,2.62
Sharjah,68,AE,1552658400,78,25.36,55.39,73.4,20.8
Guarapari,20,BR,1552662301,59,-20.67,-40.5,93.2,8.05
Tevriz,64,RU,1552663360,74,57.51,72.4,26.74,11.68
Deqing,44,CN,1552663359,54,30.54,119.97,55.0,2.24
Ohangaron,0,UZ,1552660200,31,40.91,69.65,64.4,4.7
Manzil Salim,20,TN,1552662000,41,35.86,8.48,60.8,18.34
Tabas,80,IR,1552663364,67,33.6,56.92,57.34,6.42
Matadi,8,CD,1552663366,83,-5.83,13.46,84.79,8.1
Atar,0,MR,1552663248,10,20.52,-13.05,92.26,12.24
Najran,40,SA,1552658400,27,17.54,44.22,89.6,9.17
Sosva,80,RU,1552663370,62,59.17,61.86,22.42,11.56
Luvianos,0,MX,1552663371,53,18.92,-100.4,64.9,2.73
Portachuelo,75,BO,1552658400,74,-17.35,-63.39,84.2,14.99
Batagay-Alyta,20,RU,1552663203,27,67.8,130.41,-20.51,2.62
Hofn,75,IS,1552662000,69,64.25,-15.21,39.2,9.17
Lima,75,PE,1552662728,88,-12.06,-77.04,73.0,5.82
Seoul,90,KR,1552661400,93,37.57,126.98,37.4,1.12
Shawnee,1,US,1552663280,41,35.33,-96.93,45.0,18.34
Kulachi,0,PK,1552663380,81,31.93,70.46,54.37,2.06
Oskemen,0,KZ,1552660200,69,49.96,82.61,33.8,2.24
Tres Arroyos,80,AR,1552663383,92,-38.38,-60.28,66.61,14.14
Mahebourg,40,MU,1552663144,78,-20.41,57.7,81.0,5.82
Ontario,1,US,1552663381,25,34.07,-117.65,63.0,2.95
Mahibadhoo,48,MV,1552663386,100,3.78,72.97,82.54,3.74
Springville,1,US,1552663223,73,40.17,-111.61,33.01,4.7
Nushki,68,PK,1552663389,63,29.55,66.02,52.39,2.17
Leh,56,IN,1552663211,68,34.16,77.58,-1.52,1.61
Sal Rei,0,CV,1552662000,61,16.18,-22.92,80.6,18.34
Olinda,40,EC,1552663237,79,-2.03,-79.75,86.0,3.36
Miramar,0,CR,1552662922,50,10.09,-84.73,77.0,13.87
Sorland,20,NO,1552661400,64,67.67,12.69,35.6,2.24
Sulangan,44,PH,1552663397,100,11.14,123.72,81.1,14.14
Hirado,20,JP,1552663387,81,33.32,129.49,48.0,15.01
Waitati,92,NZ,1552663241,92,-45.75,170.57,53.01,1.01
Sooke,90,CA,1552663350,93,48.37,-123.73,43.0,3.36
Guozhen,68,CN,1552663401,80,29.3,113.14,52.84,2.62
Conde,8,BR,1552663364,73,-11.81,-37.61,87.04,8.77
Mana,40,RS,1552662000,35,43.52,20.24,57.2,5.82
Okha,32,RU,1552663405,84,53.59,142.95,14.23,8.66
Magog,90,CA,1552663256,93,45.27,-72.15,46.4,3.36
Marzuq,0,YE,1552663407,37,14.4,46.47,77.95,6.08
Kavaratti,0,IN,1552663187,100,10.57,72.64,83.62,7.65
Constitucion,75,MX,1552662616,69,23.99,-104.67,55.0,2.24
Ostrogozhsk,92,RU,1552663411,90,50.86,39.08,31.69,12.46
Novobureyskiy,0,RU,1552663412,68,49.8,129.88,11.71,2.39
Caconda,32,AO,1552663413,98,-13.73,15.06,70.21,5.19
Nioro,0,GM,1552663414,16,13.79,-15.05,100.27,7.54
Onega,56,RU,1552663415,81,63.91,38.09,29.62,13.24
Catalina,75,CO,1552658400,78,8.86,-75.38,82.4,5.82
Kalmar,75,SE,1552662904,100,56.66,16.36,42.01,8.05
Roald,0,NO,1552662970,56,62.58,6.12,44.6,12.75
Toppenish,90,US,1552663364,59,46.38,-120.31,34.0,2.39
Poum,40,MK,1552662000,32,41.28,20.71,51.8,9.17
Fortuna,0,ES,1552663196,15,38.18,-1.13,78.01,4.7
Grimshaw,20,CA,1552663331,58,56.19,-117.61,28.4,10.29
Arcata,1,US,1552663128,100,40.87,-124.08,45.0,4.7
High Rock,0,BS,1552658400,69,26.63,-78.28,77.0,12.75
Deputatskiy,20,RU,1552663200,35,69.3,139.9,-24.74,2.84
Crotone,0,IT,1552661400,38,39.09,17.12,60.8,10.29
Kavieng,92,PG,1552663202,100,-2.57,150.8,78.31,12.8
Chengannur,0,IN,1552663430,49,9.32,76.61,83.89,1.39
Jiehu,0,CN,1552663431,58,35.54,118.45,32.05,3.18
Kalaleh,90,IR,1552658400,93,37.38,55.49,51.8,2.73
Rangapara,64,IN,1552663433,83,26.82,92.69,59.23,1.95
Port Huron,90,US,1552663416,75,42.98,-82.44,43.0,11.41
Nizwa,0,OM,1552663436,36,22.93,57.53,69.94,4.74
Antsohihy,56,MG,1552663437,87,-14.88,47.99,80.56,5.41
Singaparna,36,ID,1552663304,94,-7.35,108.11,65.8,1.95
Radchenko,80,RU,1552663439,86,56.68,36.37,33.4,16.04
Comodoro Rivadavia,75,AR,1552659000,82,-45.87,-67.48,60.8,8.05
Myitkyina,44,MM,1552663441,99,25.38,97.4,64.54,4.63
Bangassou,24,CF,1552663442,87,4.74,22.82,78.04,2.95
Tacuati,92,PY,1552663444,97,-23.46,-56.74,75.79,4.97
Koumac,48,NC,1552663445,98,-20.56,164.28,74.71,3.29
Yulara,36,AU,1552658400,44,-25.24,130.99,77.0,5.82
Teahupoo,76,PF,1552663383,83,-17.83,-149.27,78.8,3.36
Tromso,75,NO,1552663200,68,69.65,18.96,28.4,4.7
Acapulco,20,MX,1552657440,78,16.86,-99.88,75.2,4.18
Otofuke,32,JP,1552663454,66,43.02,143.2,13.87,1.95
Trelew,75,AR,1552660200,93,-43.25,-65.31,62.6,9.17
Otane,20,NZ,1552662437,94,-39.89,176.62,61.0,2.39
Markala,0,ML,1552663457,22,13.69,-6.07,98.38,9.22
Oil City,90,US,1552663345,65,41.43,-79.71,54.0,17.22
Xiongzhou,0,CN,1552663441,65,32.34,118.83,57.99,2.24
Sisimiut,48,GL,1552663461,69,66.94,-53.67,0.82,2.95
Omsukchan,12,RU,1552663191,0,62.53,155.8,-28.79,2.62
Mahanoro,92,MG,1552663463,81,-19.9,48.8,76.96,2.95
Yomou,0,GN,1552663464,29,7.57,-9.26,98.83,4.18
Buala,76,SB,1552663239,92,-8.15,159.59,81.01,5.41
Wattegama,68,LK,1552663211,71,7.35,80.68,78.04,4.18
Pacific Grove,1,US,1552663222,75,36.62,-121.92,50.0,9.17
Thouars,75,FR,1552663379,71,46.98,-0.22,57.2,12.75
Sydney,90,AU,1552663264,100,-33.85,151.22,66.99,1.12
Murray Bridge,0,AU,1552663204,62,-35.12,139.28,66.0,5.99
Calama,0,CL,1552658400,16,-22.46,-68.93,68.0,12.75
Bilma,0,NE,1552663473,14,18.69,12.92,88.48,11.01
Salalah,20,OM,1552657800,65,17.01,54.1,78.8,10.29
Liwale,0,TZ,1552663475,41,-9.8,37.92,88.12,6.98
Hokitika,92,NZ,1552663476,100,-42.72,170.96,62.47,7.65
Hasaki,75,JP,1552663176,65,35.73,140.83,48.2,4.7
Kalugumalai,0,IN,1552663478,59,9.15,77.7,81.37,8.55
Cabinda,20,AO,1552658400,66,-5.56,12.19,89.6,13.87
Sistranda,20,NO,1552663472,60,63.73,8.83,45.0,8.05
Buin,0,CL,1552663423,40,-33.73,-70.74,82.99,3.36
Muzaffarpur,40,IN,1552660200,45,26.12,85.39,82.4,3.36
Bogo,36,CM,1552658400,9,10.74,14.61,102.2,18.34
Tete,36,MZ,1552663486,39,-16.16,33.59,94.78,8.21
Surenavan,75,AM,1552662000,66,39.75,44.8,53.6,2.39
Bad Freienwalde,75,DE,1552663383,93,52.79,14.03,46.99,16.11
Rio Grande,40,BR,1552658400,61,-32.03,-52.1,80.6,3.36
Srednekolymsk,64,RU,1552663239,40,67.46,153.71,-13.22,3.18
Torbay,40,CA,1552663100,59,47.66,-52.73,37.99,8.05
Charagua,90,BO,1552658400,94,-19.79,-63.2,71.6,3.96
Kankan,8,GN,1552663495,17,10.38,-9.3,101.35,7.65
Montecristo,0,CO,1552663497,67,8.3,-74.47,85.33,1.39
Sotnikovo,75,RU,1552660200,64,51.88,107.48,37.4,2.24
Pangkalanbuun,24,ID,1552663500,92,-2.68,111.62,75.79,2.84
Nam Som,40,TH,1552660200,88,17.77,102.19,77.0,2.24
Port Hardy,90,CA,1552662540,93,50.7,-127.42,39.2,5.82
Belyy Yar,0,RU,1552660200,68,53.6,91.39,30.2,2.24
Rio Gallegos,0,AR,1552658400,55,-51.62,-69.22,62.6,12.75
General Roca,40,AR,1552658400,66,-39.03,-67.58,55.4,3.36
Pangnirtung,20,CA,1552662000,63,66.15,-65.72,-7.61,5.64
Coria,0,ES,1552663508,58,39.98,-6.54,66.61,4.07
Balabac,0,PH,1552663510,98,7.99,117.06,82.27,8.32
Whithorn,20,JM,1552662945,58,18.26,-78.04,84.2,14.99
Chase,90,US,1552663509,93,43.89,-85.64,37.0,10.29
Hay River,75,CA,1552662000,79,60.82,-115.79,23.0,5.82
Mmabatho,20,ZA,1552658400,33,-25.85,25.61,87.8,5.82
Inhambane,75,MZ,1552662000,69,-23.87,35.38,82.4,10.29
Amguri,44,IN,1552663518,78,26.81,94.53,69.22,7.65
Fuerte Olimpo,32,BR,1552663519,90,-21.04,-57.87,86.77,9.55
Centralia,90,US,1552663417,64,39.21,-92.14,37.99,20.8
Krasnovishersk,0,RU,1552663522,80,60.4,57.08,15.04,8.43
Praia,40,BR,1552658400,45,-20.25,-43.81,86.0,4.7
Ludvika,90,SE,1552663516,91,60.15,15.18,35.01,1.12
Taikang,8,CN,1552663526,55,46.86,124.44,20.44,8.1
Samana,90,EC,1552659900,100,0.12,-76.97,71.6,4.7
Namatanai,88,PG,1552663206,100,-3.66,152.44,80.02,11.56
Half Moon Bay,40,US,1552663238,81,37.46,-122.43,48.99,3.18
Ponta Delgada,20,PT,1552663173,72,37.73,-25.67,60.8,8.05
Kautokeino,88,NO,1552663532,89,69.01,23.04,28.09,4.63
Myrtle Beach,1,US,1552663513,69,33.7,-78.89,78.01,13.87
Puro,0,PH,1552663226,90,13.13,123.76,71.11,2.95
Kalmanka,0,RU,1552660200,55,52.9,83.53,37.4,11.18
Verkhnyaya Inta,0,RU,1552663537,79,65.99,60.32,10.45,2.17
Hualmay,12,PE,1552663538,74,-11.1,-77.61,76.69,5.75
San Andres,20,PH,1552663540,100,13.32,122.68,80.47,10.67
Port Lavaca,90,US,1552663530,47,28.61,-96.63,55.4,17.22
Sao Jose da Coroa Grande,12,BR,1552663184,79,-8.9,-35.15,86.05,10.22
Mitsamiouli,20,KM,1552662000,66,-11.38,43.28,86.0,4.7
Madingou,32,CG,1552663547,63,-4.17,13.56,88.12,2.95
Padilla,75,CO,1552662000,65,3.23,-76.31,78.8,2.24
Naas,75,IE,1552663434,66,53.22,-6.66,50.0,24.16
Basco,90,US,1552663220,80,40.33,-91.2,36.0,21.92
Hamilton,40,BM,1552662933,59,32.3,-64.78,66.2,8.05
Altoona,90,US,1552663547,54,40.52,-78.39,61.0,16.11
Cairns,92,AU,1552662802,88,-16.92,145.77,78.8,4.7
Saint-Francois,90,FR,1552662938,67,46.42,3.91,57.2,17.22
Nha Trang,0,VN,1552660200,78,12.24,109.19,80.6,10.29
Tezu,92,IN,1552663196,98,27.93,96.16,54.82,1.05
Mercedes,76,UY,1552663561,86,-33.25,-58.03,73.18,5.97
Mokrous,8,RU,1552663562,86,51.24,47.51,27.37,8.66
Calvinia,76,ZA,1552663563,22,-31.47,19.78,91.27,4.97
Umm Lajj,0,SA,1552663564,70,25.02,37.27,72.37,11.68
Bilibino,76,RU,1552663565,45,68.06,166.44,-16.55,2.73
Kutum,0,SD,1552663190,16,14.2,24.66,87.31,8.21
Kovur,0,IN,1552663569,67,14.5,79.99,77.68,7.99
Ocos,5,GT,1552660800,58,14.51,-92.19,86.0,2.24
Cruzeiro do Sul,75,BR,1552662000,83,-7.63,-72.67,80.6,5.82
